trace_path,cache_size(MiB),miss_ratio,n_req,n_promoted
"msr_prxy_1.oracleGeneral.zst",512,0.00400926,168638964,1302536
"msr_prxy_1.oracleGeneral.zst",512,0.00398794,168638964,1012038
"msr_prxy_1.oracleGeneral.zst",512,0.00422158,168638964,957015
"msr_prxy_1.oracleGeneral.zst",512,0.00439747,168638964,922527
"msr_prxy_1.oracleGeneral.zst",512,0.004554,168638964,891693
"msr_prxy_1.oracleGeneral.zst",512,0.0046852,168638964,866573
"msr_prxy_1.oracleGeneral.zst",512,0.00476428,168638964,849020
"msr_prxy_1.oracleGeneral.zst",512,0.00482329,168638964,828747
"msr_prxy_1.oracleGeneral.zst",512,0.00486548,168638964,824596
"msr_prxy_1.oracleGeneral.zst",512,0.0049392,168638964,810700
